Time,dt,Error,Omega,V,Dummy,P,I,D
5.946967614,0.038112754,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.997077939,0.050110325,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.052014374,0.054936435,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.096768346,0.044753972,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.152404345,0.055635999,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.196650233,0.044245888,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.248777027,0.052126794,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.30404455,0.055267523,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.34678249,0.04273794,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.399886204,0.053103714,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.446854516,0.046968312,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.49731517,0.050460654,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.546831077,0.049515907,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.599559124,0.052728047,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.646623445,0.047064321,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.704078175,0.05745473,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.748159281,0.044081106,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.797362639,0.049203358,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.847177791,0.049815152,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.897862148,0.050684357,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.947982956,0.050120808,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6.996829152,0.048846196,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.046608877,0.049779725,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.096597875,0.049988998,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.152978999,0.056381124,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.197523971,0.044544972,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.246708876,0.049184905,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.303841215,0.057132339,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.358042645,0.05420143,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.399146034,0.041103389,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.447945106,0.048799072,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.512701755,0.064756649,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.550062377,0.037360622,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.597031608,0.046969231,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.649138038,0.05210643,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.705158593,0.056020555,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.749340965,0.044182372,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.797175834,0.047834869,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.852497047,0.055321213,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.897378516,0.044881469,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.946587365,0.049208849,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7.996379022,0.049791657,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.04869912,0.052320098,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.103731674,0.055032554,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.149717412,0.045985738,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.197217526,0.047500114,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.250420229,0.053202703,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.297198293,0.046778064,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.349991576,0.052793283,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.398804578,0.048813002,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8.450283419,0.051478841,0.0,0.0,0.5,0.0,0.0,0.0,0.0
